code,market,dt,qfq_factor,hfq_factor
601006.SH,stock,1900-01-01,2.6440747749844,1.0
601006.SH,stock,2006-08-01,2.6440747749844,1.0
601006.SH,stock,2007-06-18,2.5984610640876,1.0175541252194
601006.SH,stock,2008-07-01,2.5411841853788,1.0404892294693
601006.SH,stock,2009-07-01,2.4691959648298,1.0708241924276
601006.SH,stock,2010-06-24,2.382960948596,1.1095753694756
601006.SH,stock,2011-06-29,2.2836709090711,1.1578177768441
601006.SH,stock,2012-07-19,2.1489308705631,1.2304140683183
601006.SH,stock,2013-06-05,2.0290334400167,1.3031203541735
601006.SH,stock,2014-06-23,1.9018491281789,1.3902652612177
601006.SH,stock,2015-06-19,1.8378766277216,1.4386573805349
601006.SH,stock,2016-07-07,1.7125668576497,1.5439249937448
601006.SH,stock,2017-06-29,1.6613537339161,1.5915182426272
601006.SH,stock,2018-06-28,1.5732232311012,1.6806736149794
601006.SH,stock,2019-06-27,1.4870192184381,1.7781039694709
601006.SH,stock,2020-07-02,1.3853426906816,1.9086070131018
601006.SH,stock,2021-07-08,1.2850463872839,2.0575714629049
601006.SH,stock,2022-07-07,1.1920113547203,2.2181624063512
601006.SH,stock,2023-07-13,1.1151073963513,2.3711391240305
601006.SH,stock,2024-07-11,1.0554585212969,2.5051432355063
601006.SH,stock,2024-10-24,1.0353986008127,2.5536781418373
601006.SH,stock,2025-07-11,1.013698630137,2.6083440347819
601006.SH,stock,2025-10-24,1.0,2.6440747749844
