code,market,dt,open,high,low,close,volume,amount,open_interest
601006.SH,stock,2022-01-04,4.98,5.035,4.965,5.027,40791805.0,262652631.0,0.0
601006.SH,stock,2022-01-05,5.027,5.082,5.004,5.027,43326702.0,280701137.0,0.0
601006.SH,stock,2022-01-06,5.019,5.05,5.004,5.019,22685546.0,146341487.0,0.0
601006.SH,stock,2022-01-07,5.019,5.097,5.011,5.066,36561252.0,238105075.0,0.0
601006.SH,stock,2022-01-10,5.089,5.097,5.066,5.089,24681119.0,161242033.0,0.0
601006.SH,stock,2022-01-11,5.097,5.144,5.066,5.12,35440948.0,232999788.0,0.0
601006.SH,stock,2022-01-12,5.113,5.128,5.074,5.105,25408006.0,166606794.0,0.0
601006.SH,stock,2022-01-13,5.105,5.152,5.066,5.074,21210500.0,139043391.0,0.0
601006.SH,stock,2022-01-14,5.089,5.097,5.011,5.019,29782844.0,192813022.0,0.0
601006.SH,stock,2022-01-17,5.019,5.05,5.004,5.011,19649740.0,126938823.0,0.0
601006.SH,stock,2022-01-18,5.027,5.089,5.011,5.074,43121666.0,280262886.0,0.0
601006.SH,stock,2022-01-19,5.074,5.159,5.066,5.12,39714898.0,261258276.0,0.0
601006.SH,stock,2022-01-20,5.144,5.144,5.097,5.128,35374497.0,233130148.0,0.0
601006.SH,stock,2022-01-21,5.128,5.206,5.082,5.175,64224172.0,425872515.0,0.0
601006.SH,stock,2022-01-24,5.159,5.175,5.058,5.113,35394046.0,232942965.0,0.0
601006.SH,stock,2022-01-25,5.097,5.136,5.066,5.074,38662147.0,253407706.0,0.0
601006.SH,stock,2022-01-26,5.089,5.128,5.043,5.089,24601266.0,160674555.0,0.0
601006.SH,stock,2022-01-27,5.105,5.136,5.074,5.089,33670432.0,221016468.0,0.0
601006.SH,stock,2022-01-28,5.097,5.19,5.089,5.144,45194286.0,298826723.0,0.0
601006.SH,stock,2022-02-07,5.152,5.292,5.152,5.261,77184475.0,519447102.0,0.0
601006.SH,stock,2022-02-08,5.253,5.525,5.237,5.517,162577802.0,1135022496.0,0.0
601006.SH,stock,2022-02-09,5.525,5.548,5.416,5.432,75443030.0,530403787.0,0.0
601006.SH,stock,2022-02-10,5.408,5.634,5.377,5.58,133973926.0,955332844.0,0.0
601006.SH,stock,2022-02-11,5.564,5.642,5.525,5.556,79963492.0,574265056.0,0.0
601006.SH,stock,2022-02-14,5.525,5.572,5.408,5.486,72833164.0,513696114.0,0.0
601006.SH,stock,2022-02-15,5.463,5.51,5.432,5.463,59605238.0,418946884.0,0.0
601006.SH,stock,2022-02-16,5.471,5.517,5.401,5.447,48059274.0,336448895.0,0.0
601006.SH,stock,2022-02-17,5.447,5.463,5.354,5.377,52522121.0,364112605.0,0.0
601006.SH,stock,2022-02-18,5.377,5.494,5.346,5.486,69406064.0,483432025.0,0.0
601006.SH,stock,2022-02-21,5.486,5.486,5.393,5.416,37621907.0,262231025.0,0.0
601006.SH,stock,2022-02-22,5.401,5.416,5.362,5.408,29983268.0,207732473.0,0.0
601006.SH,stock,2022-02-23,5.432,5.432,5.276,5.338,72263351.0,494913222.0,0.0
601006.SH,stock,2022-02-24,5.323,5.346,5.229,5.261,55604537.0,377273055.0,0.0
601006.SH,stock,2022-02-25,5.284,5.346,5.276,5.323,38706586.0,264111126.0,0.0
601006.SH,stock,2022-02-28,5.323,5.338,5.245,5.299,112300167.0,763781091.0,0.0
601006.SH,stock,2022-03-01,5.284,5.307,5.253,5.299,34819511.0,236248931.0,0.0
601006.SH,stock,2022-03-02,5.284,5.385,5.268,5.362,40064172.0,275070852.0,0.0
601006.SH,stock,2022-03-03,5.377,5.463,5.346,5.447,48677036.0,339490244.0,0.0
601006.SH,stock,2022-03-04,5.408,5.471,5.369,5.447,45368108.0,316070264.0,0.0
601006.SH,stock,2022-03-07,5.408,5.478,5.362,5.385,37376038.0,259549500.0,0.0
601006.SH,stock,2022-03-08,5.385,5.393,5.253,5.284,34408603.0,234653084.0,0.0
601006.SH,stock,2022-03-09,5.299,5.331,5.043,5.198,62138667.0,413933525.0,0.0
601006.SH,stock,2022-03-10,5.276,5.369,5.222,5.284,58285534.0,397129988.0,0.0
601006.SH,stock,2022-03-11,5.261,5.315,5.144,5.284,39784077.0,267091809.0,0.0
601006.SH,stock,2022-03-14,5.229,5.362,5.183,5.206,47756238.0,323379191.0,0.0
601006.SH,stock,2022-03-15,5.183,5.19,4.91,4.941,89201166.0,574940349.0,0.0
601006.SH,stock,2022-03-16,4.988,5.175,4.887,5.12,79354142.0,512953739.0,0.0
601006.SH,stock,2022-03-17,5.128,5.159,5.027,5.035,61774868.0,403037319.0,0.0
601006.SH,stock,2022-03-18,5.035,5.183,5.019,5.183,71680960.0,472919468.0,0.0
601006.SH,stock,2022-03-21,5.136,5.159,5.066,5.128,43842678.0,287947431.0,0.0
601006.SH,stock,2022-03-22,5.183,5.253,5.144,5.183,38013237.0,253614442.0,0.0
601006.SH,stock,2022-03-23,5.152,5.183,5.097,5.144,29648371.0,195729317.0,0.0
601006.SH,stock,2022-03-24,5.136,5.206,5.113,5.159,31430581.0,208972482.0,0.0
601006.SH,stock,2022-03-25,5.136,5.19,5.128,5.144,22085241.0,146490559.0,0.0
601006.SH,stock,2022-03-28,5.128,5.222,5.074,5.214,45465378.0,301447012.0,0.0
601006.SH,stock,2022-03-29,5.198,5.323,5.167,5.284,56186890.0,379401146.0,0.0
601006.SH,stock,2022-03-30,5.276,5.331,5.253,5.276,36267214.0,246719043.0,0.0
601006.SH,stock,2022-03-31,5.284,5.362,5.268,5.346,42350154.0,289983312.0,0.0
601006.SH,stock,2022-04-01,5.323,5.385,5.307,5.354,33325941.0,228908634.0,0.0
601006.SH,stock,2022-04-06,5.346,5.408,5.346,5.408,40638311.0,281259928.0,0.0
601006.SH,stock,2022-04-07,5.401,5.424,5.307,5.315,33408665.0,229974573.0,0.0
601006.SH,stock,2022-04-08,5.315,5.385,5.292,5.369,36568912.0,251051658.0,0.0
601006.SH,stock,2022-04-11,5.369,5.439,5.323,5.362,67027757.0,464277284.0,0.0
601006.SH,stock,2022-04-12,5.331,5.424,5.299,5.408,41765170.0,287962933.0,0.0
601006.SH,stock,2022-04-13,5.377,5.455,5.369,5.393,45425786.0,316066675.0,0.0
601006.SH,stock,2022-04-14,5.377,5.393,5.284,5.307,53940990.0,368770396.0,0.0
601006.SH,stock,2022-04-15,5.261,5.315,5.229,5.261,56289834.0,381440728.0,0.0
601006.SH,stock,2022-04-18,5.276,5.346,5.206,5.307,35957580.0,244815145.0,0.0
601006.SH,stock,2022-04-19,5.292,5.447,5.276,5.439,60358629.0,418947661.0,0.0
601006.SH,stock,2022-04-20,5.463,5.494,5.377,5.393,47419261.0,331171173.0,0.0
601006.SH,stock,2022-04-21,5.393,5.447,5.354,5.385,50891670.0,352985732.0,0.0
601006.SH,stock,2022-04-22,5.369,5.478,5.346,5.447,48757556.0,341203232.0,0.0
601006.SH,stock,2022-04-25,5.432,5.51,5.377,5.385,70332921.0,492980841.0,0.0
601006.SH,stock,2022-04-26,5.354,5.439,5.292,5.307,46892044.0,323178261.0,0.0
601006.SH,stock,2022-04-27,5.284,5.393,5.245,5.393,58076811.0,397364010.0,0.0
601006.SH,stock,2022-04-28,5.307,5.346,5.128,5.292,70254191.0,471636935.0,0.0
601006.SH,stock,2022-04-29,5.253,5.276,5.175,5.183,54836896.0,366997979.0,0.0
601006.SH,stock,2022-05-05,5.206,5.237,5.12,5.128,52886319.0,350394703.0,0.0
601006.SH,stock,2022-05-06,5.097,5.12,5.019,5.058,41874163.0,272319275.0,0.0
601006.SH,stock,2022-05-09,5.058,5.128,5.027,5.12,21861373.0,143087763.0,0.0
601006.SH,stock,2022-05-10,5.082,5.12,5.027,5.074,39765566.0,259004250.0,0.0
601006.SH,stock,2022-05-11,5.074,5.113,5.066,5.082,32595827.0,212887087.0,0.0
601006.SH,stock,2022-05-12,5.066,5.089,5.05,5.066,30204489.0,196615848.0,0.0
601006.SH,stock,2022-05-13,5.082,5.128,5.066,5.12,34439800.0,226001887.0,0.0
601006.SH,stock,2022-05-16,5.113,5.128,5.074,5.097,20957190.0,137243771.0,0.0
601006.SH,stock,2022-05-17,5.097,5.12,5.082,5.082,16533338.0,108214693.0,0.0
601006.SH,stock,2022-05-18,5.097,5.105,5.043,5.058,32616272.0,212339168.0,0.0
601006.SH,stock,2022-05-19,5.027,5.066,5.011,5.05,36749021.0,237925792.0,0.0
601006.SH,stock,2022-05-20,5.043,5.128,5.043,5.113,30478932.0,199736899.0,0.0
601006.SH,stock,2022-05-23,5.113,5.136,5.105,5.128,25208262.0,165801070.0,0.0
601006.SH,stock,2022-05-24,5.136,5.144,5.089,5.097,28757222.0,188995822.0,0.0
601006.SH,stock,2022-05-25,5.097,5.183,5.089,5.175,31262312.0,207130560.0,0.0
601006.SH,stock,2022-05-26,5.19,5.261,5.183,5.245,39777781.0,266610082.0,0.0
601006.SH,stock,2022-05-27,5.253,5.276,5.214,5.261,28804382.0,194035270.0,0.0
601006.SH,stock,2022-05-30,5.268,5.307,5.198,5.222,24393971.0,164144860.0,0.0
601006.SH,stock,2022-05-31,5.222,5.276,5.198,5.222,29386524.0,197578061.0,0.0
601006.SH,stock,2022-06-01,5.206,5.245,5.183,5.206,31200987.0,208945263.0,0.0
601006.SH,stock,2022-06-02,5.206,5.229,5.183,5.19,14872783.0,99398362.0,0.0
601006.SH,stock,2022-06-06,5.183,5.19,5.113,5.144,47523434.0,313482325.0,0.0
601006.SH,stock,2022-06-07,5.136,5.167,5.12,5.136,26550206.0,175374073.0,0.0
601006.SH,stock,2022-06-08,5.144,5.214,5.128,5.206,32201265.0,213513437.0,0.0
601006.SH,stock,2022-06-09,5.198,5.253,5.19,5.245,39945238.0,268206419.0,0.0
601006.SH,stock,2022-06-10,5.214,5.245,5.19,5.222,32387078.0,217110362.0,0.0
601006.SH,stock,2022-06-13,5.206,5.214,5.136,5.152,42215480.0,279916774.0,0.0
601006.SH,stock,2022-06-14,5.152,5.198,5.128,5.19,28824516.0,190877227.0,0.0
601006.SH,stock,2022-06-15,5.19,5.276,5.175,5.222,45241847.0,304673397.0,0.0
601006.SH,stock,2022-06-16,5.222,5.237,5.152,5.152,37974523.0,252687970.0,0.0
601006.SH,stock,2022-06-17,5.144,5.183,5.136,5.175,26363193.0,174704144.0,0.0
601006.SH,stock,2022-06-20,5.167,5.183,5.105,5.12,41985303.0,276744240.0,0.0
601006.SH,stock,2022-06-21,5.136,5.159,5.12,5.136,21051662.0,139133220.0,0.0
601006.SH,stock,2022-06-22,5.136,5.152,5.113,5.113,14863941.0,97956856.0,0.0
601006.SH,stock,2022-06-23,5.113,5.128,5.097,5.128,25699076.0,168783680.0,0.0
601006.SH,stock,2022-06-24,5.136,5.136,5.089,5.105,35258833.0,231551535.0,0.0
601006.SH,stock,2022-06-27,5.113,5.12,5.089,5.097,32136630.0,210758736.0,0.0
601006.SH,stock,2022-06-28,5.097,5.113,5.066,5.105,43434930.0,284015524.0,0.0
601006.SH,stock,2022-06-29,5.105,5.144,5.097,5.12,36757406.0,241931896.0,0.0
601006.SH,stock,2022-06-30,5.136,5.159,5.113,5.128,42281966.0,278899069.0,0.0
601006.SH,stock,2022-07-01,5.144,5.152,5.128,5.144,24614298.0,162673456.0,0.0
601006.SH,stock,2022-07-04,5.152,5.175,5.136,5.175,34234776.0,226846834.0,0.0
601006.SH,stock,2022-07-05,5.175,5.222,5.167,5.198,49016384.0,327496295.0,0.0
601006.SH,stock,2022-07-06,5.198,5.206,5.128,5.159,60841275.0,403418064.0,0.0
601006.SH,stock,2022-07-07,5.159,5.185,5.084,5.084,72164793.0,439789459.0,0.0
601006.SH,stock,2022-07-08,5.109,5.117,5.075,5.084,33516615.0,203368896.0,0.0
601006.SH,stock,2022-07-11,5.084,5.092,5.067,5.067,22807935.0,138023306.0,0.0
601006.SH,stock,2022-07-12,5.075,5.126,5.067,5.101,20948904.0,127536032.0,0.0
601006.SH,stock,2022-07-13,5.101,5.143,5.092,5.109,20222428.0,123447790.0,0.0
601006.SH,stock,2022-07-14,5.126,5.134,5.084,5.117,20578404.0,125252549.0,0.0
601006.SH,stock,2022-07-15,5.117,5.126,5.05,5.05,21328912.0,129263269.0,0.0
601006.SH,stock,2022-07-18,5.075,5.101,5.059,5.084,14838591.0,89952234.0,0.0
601006.SH,stock,2022-07-19,5.084,5.101,5.075,5.084,15792547.0,95788299.0,0.0
601006.SH,stock,2022-07-20,5.101,5.101,5.084,5.101,11604665.0,70420864.0,0.0
601006.SH,stock,2022-07-21,5.092,5.101,5.05,5.059,18492692.0,111850701.0,0.0
601006.SH,stock,2022-07-22,5.067,5.084,5.059,5.075,10980944.0,66376311.0,0.0
601006.SH,stock,2022-07-25,5.092,5.092,5.059,5.067,9000832.0,54410961.0,0.0
601006.SH,stock,2022-07-26,5.067,5.101,5.059,5.075,15526136.0,94074803.0,0.0
601006.SH,stock,2022-07-27,5.084,5.101,5.067,5.067,12990235.0,78669298.0,0.0
601006.SH,stock,2022-07-28,5.075,5.084,5.059,5.067,17998519.0,108867500.0,0.0
601006.SH,stock,2022-07-29,5.075,5.092,5.059,5.075,17606185.0,106534489.0,0.0
601006.SH,stock,2022-08-01,5.067,5.075,5.05,5.05,15730845.0,94884169.0,0.0
601006.SH,stock,2022-08-02,5.05,5.059,4.992,5.008,35635008.0,212783715.0,0.0
601006.SH,stock,2022-08-03,5.025,5.117,5.008,5.075,46779165.0,283467833.0,0.0
601006.SH,stock,2022-08-04,5.084,5.109,5.059,5.109,19817819.0,120135669.0,0.0
601006.SH,stock,2022-08-05,5.109,5.134,5.075,5.126,16183725.0,98598326.0,0.0
601006.SH,stock,2022-08-08,5.126,5.134,5.092,5.101,12310611.0,74963291.0,0.0
601006.SH,stock,2022-08-09,5.101,5.185,5.092,5.176,34413731.0,211230163.0,0.0
601006.SH,stock,2022-08-10,5.185,5.185,5.126,5.151,13560226.0,83218567.0,0.0
601006.SH,stock,2022-08-11,5.159,5.185,5.143,5.176,15046999.0,92730255.0,0.0
601006.SH,stock,2022-08-12,5.185,5.226,5.168,5.218,22209643.0,137716059.0,0.0
601006.SH,stock,2022-08-15,5.201,5.243,5.185,5.218,20102647.0,124830971.0,0.0
601006.SH,stock,2022-08-16,5.218,5.243,5.193,5.193,17676834.0,109930033.0,0.0
601006.SH,stock,2022-08-17,5.21,5.243,5.185,5.226,15985707.0,99631038.0,0.0
