dt,raw_open,raw_high,raw_low,raw_close,calc_open,calc_high,calc_low,calc_close,direct_open,direct_high,direct_low,direct_close,feed_open,feed_high,feed_low,feed_close,diff_open,feed_diff_open,calc_open_2dp,feed_open_2dp,direct_open_2dp,round_diff_open,diff_high,feed_diff_high,calc_high_2dp,feed_high_2dp,direct_high_2dp,round_diff_high,diff_low,feed_diff_low,calc_low_2dp,feed_low_2dp,direct_low_2dp,round_diff_low,diff_close,feed_diff_close,calc_close_2dp,feed_close_2dp,direct_close_2dp,round_diff_close,within_direct_tolerance,has_diff,max_abs_diff
2022-01-04,6.4,6.47,6.38,6.46,4.98,5.035,4.965,5.027,4.98,5.03,4.96,5.03,4.98,5.035,4.965,5.027,0.0,0.0,4.98,4.98,4.98,0.0,0.005,0.005,5.04,5.04,5.03,0.01,0.005,0.005,4.96,4.96,4.96,0.0,-0.003,-0.003,5.03,5.03,5.03,0.0,True,True,0.005
2022-01-05,6.46,6.53,6.43,6.46,5.027,5.082,5.004,5.027,5.03,5.08,5.0,5.03,5.027,5.082,5.004,5.027,-0.003,-0.003,5.03,5.03,5.03,0.0,0.002,0.002,5.08,5.08,5.08,0.0,0.004,0.004,5.0,5.0,5.0,0.0,-0.003,-0.003,5.03,5.03,5.03,0.0,True,True,0.004
2022-01-06,6.45,6.49,6.43,6.45,5.019,5.05,5.004,5.019,5.02,5.05,5.0,5.02,5.019,5.05,5.004,5.019,-0.001,-0.001,5.02,5.02,5.02,0.0,0.0,0.0,5.05,5.05,5.05,0.0,0.004,0.004,5.0,5.0,5.0,0.0,-0.001,-0.001,5.02,5.02,5.02,0.0,True,True,0.004
2022-01-07,6.45,6.55,6.44,6.51,5.019,5.097,5.011,5.066,5.02,5.1,5.01,5.07,5.019,5.097,5.011,5.066,-0.001,-0.001,5.02,5.02,5.02,0.0,-0.003,-0.003,5.1,5.1,5.1,0.0,0.001,0.001,5.01,5.01,5.01,0.0,-0.004,-0.004,5.07,5.07,5.07,0.0,True,True,0.004
2022-01-10,6.54,6.55,6.51,6.54,5.089,5.097,5.066,5.089,5.09,5.1,5.07,5.09,5.089,5.097,5.066,5.089,-0.001,-0.001,5.09,5.09,5.09,0.0,-0.003,-0.003,5.1,5.1,5.1,0.0,-0.004,-0.004,5.07,5.07,5.07,0.0,-0.001,-0.001,5.09,5.09,5.09,0.0,True,True,0.004
2022-01-11,6.55,6.61,6.51,6.58,5.097,5.144,5.066,5.12,5.1,5.14,5.07,5.12,5.097,5.144,5.066,5.12,-0.003,-0.003,5.1,5.1,5.1,0.0,0.004,0.004,5.14,5.14,5.14,0.0,-0.004,-0.004,5.07,5.07,5.07,0.0,0.0,0.0,5.12,5.12,5.12,0.0,True,True,0.004
2022-01-12,6.57,6.59,6.52,6.56,5.113,5.128,5.074,5.105,5.11,5.13,5.07,5.1,5.113,5.128,5.074,5.105,0.003,0.003,5.11,5.11,5.11,0.0,-0.002,-0.002,5.13,5.13,5.13,0.0,0.004,0.004,5.07,5.07,5.07,0.0,0.005,0.005,5.11,5.11,5.1,0.01,True,True,0.005
2022-01-13,6.56,6.62,6.51,6.52,5.105,5.152,5.066,5.074,5.1,5.15,5.07,5.07,5.105,5.152,5.066,5.074,0.005,0.005,5.11,5.11,5.1,0.01,0.002,0.002,5.15,5.15,5.15,0.0,-0.004,-0.004,5.07,5.07,5.07,0.0,0.004,0.004,5.07,5.07,5.07,0.0,True,True,0.005
2022-01-14,6.54,6.55,6.44,6.45,5.089,5.097,5.011,5.019,5.09,5.1,5.01,5.02,5.089,5.097,5.011,5.019,-0.001,-0.001,5.09,5.09,5.09,0.0,-0.003,-0.003,5.1,5.1,5.1,0.0,0.001,0.001,5.01,5.01,5.01,0.0,-0.001,-0.001,5.02,5.02,5.02,0.0,True,True,0.003
2022-01-17,6.45,6.49,6.43,6.44,5.019,5.05,5.004,5.011,5.02,5.05,5.0,5.01,5.019,5.05,5.004,5.011,-0.001,-0.001,5.02,5.02,5.02,0.0,0.0,0.0,5.05,5.05,5.05,0.0,0.004,0.004,5.0,5.0,5.0,0.0,0.001,0.001,5.01,5.01,5.01,0.0,True,True,0.004
