code,market,dt,open,high,low,close,volume,amount,open_interest
601006.SH,stock,2022-01-04,6.4,6.47,6.38,6.46,40791805.0,262652631.0,0.0
601006.SH,stock,2022-01-05,6.46,6.53,6.43,6.46,43326702.0,280701137.0,0.0
601006.SH,stock,2022-01-06,6.45,6.49,6.43,6.45,22685546.0,146341487.0,0.0
601006.SH,stock,2022-01-07,6.45,6.55,6.44,6.51,36561252.0,238105075.0,0.0
601006.SH,stock,2022-01-10,6.54,6.55,6.51,6.54,24681119.0,161242033.0,0.0
601006.SH,stock,2022-01-11,6.55,6.61,6.51,6.58,35440948.0,232999788.0,0.0
601006.SH,stock,2022-01-12,6.57,6.59,6.52,6.56,25408006.0,166606794.0,0.0
601006.SH,stock,2022-01-13,6.56,6.62,6.51,6.52,21210500.0,139043391.0,0.0
601006.SH,stock,2022-01-14,6.54,6.55,6.44,6.45,29782844.0,192813022.0,0.0
601006.SH,stock,2022-01-17,6.45,6.49,6.43,6.44,19649740.0,126938823.0,0.0
601006.SH,stock,2022-01-18,6.46,6.54,6.44,6.52,43121666.0,280262886.0,0.0
601006.SH,stock,2022-01-19,6.52,6.63,6.51,6.58,39714898.0,261258276.0,0.0
601006.SH,stock,2022-01-20,6.61,6.61,6.55,6.59,35374497.0,233130148.0,0.0
601006.SH,stock,2022-01-21,6.59,6.69,6.53,6.65,64224172.0,425872515.0,0.0
601006.SH,stock,2022-01-24,6.63,6.65,6.5,6.57,35394046.0,232942965.0,0.0
601006.SH,stock,2022-01-25,6.55,6.6,6.51,6.52,38662147.0,253407706.0,0.0
601006.SH,stock,2022-01-26,6.54,6.59,6.48,6.54,24601266.0,160674555.0,0.0
601006.SH,stock,2022-01-27,6.56,6.6,6.52,6.54,33670432.0,221016468.0,0.0
601006.SH,stock,2022-01-28,6.55,6.67,6.54,6.61,45194286.0,298826723.0,0.0
601006.SH,stock,2022-02-07,6.62,6.8,6.62,6.76,77184475.0,519447102.0,0.0
601006.SH,stock,2022-02-08,6.75,7.1,6.73,7.09,162577802.0,1135022496.0,0.0
601006.SH,stock,2022-02-09,7.1,7.13,6.96,6.98,75443030.0,530403787.0,0.0
601006.SH,stock,2022-02-10,6.95,7.24,6.91,7.17,133973926.0,955332844.0,0.0
601006.SH,stock,2022-02-11,7.15,7.25,7.1,7.14,79963492.0,574265056.0,0.0
601006.SH,stock,2022-02-14,7.1,7.16,6.95,7.05,72833164.0,513696114.0,0.0
601006.SH,stock,2022-02-15,7.02,7.08,6.98,7.02,59605238.0,418946884.0,0.0
601006.SH,stock,2022-02-16,7.03,7.09,6.94,7.0,48059274.0,336448895.0,0.0
601006.SH,stock,2022-02-17,7.0,7.02,6.88,6.91,52522121.0,364112605.0,0.0
601006.SH,stock,2022-02-18,6.91,7.06,6.87,7.05,69406064.0,483432025.0,0.0
601006.SH,stock,2022-02-21,7.05,7.05,6.93,6.96,37621907.0,262231025.0,0.0
601006.SH,stock,2022-02-22,6.94,6.96,6.89,6.95,29983268.0,207732473.0,0.0
601006.SH,stock,2022-02-23,6.98,6.98,6.78,6.86,72263351.0,494913222.0,0.0
601006.SH,stock,2022-02-24,6.84,6.87,6.72,6.76,55604537.0,377273055.0,0.0
601006.SH,stock,2022-02-25,6.79,6.87,6.78,6.84,38706586.0,264111126.0,0.0
601006.SH,stock,2022-02-28,6.84,6.86,6.74,6.81,112300167.0,763781091.0,0.0
601006.SH,stock,2022-03-01,6.79,6.82,6.75,6.81,34819511.0,236248931.0,0.0
601006.SH,stock,2022-03-02,6.79,6.92,6.77,6.89,40064172.0,275070852.0,0.0
601006.SH,stock,2022-03-03,6.91,7.02,6.87,7.0,48677036.0,339490244.0,0.0
601006.SH,stock,2022-03-04,6.95,7.03,6.9,7.0,45368108.0,316070264.0,0.0
601006.SH,stock,2022-03-07,6.95,7.04,6.89,6.92,37376038.0,259549500.0,0.0
601006.SH,stock,2022-03-08,6.92,6.93,6.75,6.79,34408603.0,234653084.0,0.0
601006.SH,stock,2022-03-09,6.81,6.85,6.48,6.68,62138667.0,413933525.0,0.0
601006.SH,stock,2022-03-10,6.78,6.9,6.71,6.79,58285534.0,397129988.0,0.0
601006.SH,stock,2022-03-11,6.76,6.83,6.61,6.79,39784077.0,267091809.0,0.0
601006.SH,stock,2022-03-14,6.72,6.89,6.66,6.69,47756238.0,323379191.0,0.0
601006.SH,stock,2022-03-15,6.66,6.67,6.31,6.35,89201166.0,574940349.0,0.0
601006.SH,stock,2022-03-16,6.41,6.65,6.28,6.58,79354142.0,512953739.0,0.0
601006.SH,stock,2022-03-17,6.59,6.63,6.46,6.47,61774868.0,403037319.0,0.0
601006.SH,stock,2022-03-18,6.47,6.66,6.45,6.66,71680960.0,472919468.0,0.0
601006.SH,stock,2022-03-21,6.6,6.63,6.51,6.59,43842678.0,287947431.0,0.0
601006.SH,stock,2022-03-22,6.66,6.75,6.61,6.66,38013237.0,253614442.0,0.0
601006.SH,stock,2022-03-23,6.62,6.66,6.55,6.61,29648371.0,195729317.0,0.0
601006.SH,stock,2022-03-24,6.6,6.69,6.57,6.63,31430581.0,208972482.0,0.0
